epoch,train_loss,val_auroc,minutes
0,0.10184423175879782,0.6743393511250654,0.93
1,0.08477735047756037,0.7712192569335425,1.84
2,0.08113086744461544,0.7856750392464679,2.76
3,0.07894059153931704,0.7967294610151753,3.69
4,0.07883507452871659,0.7997841444270016,4.58
5,0.07724335394010344,0.794721350078493,5.47
6,0.0757760944631441,0.8053506017791732,6.35
7,0.07494390124166264,0.8038723181580325,7.23
